case,threshold,goal_id,precision_at_k,recall_at_k,f1_at_k,fpr,candidate_count,admitted_count,relevant_count,tp,fp
case4,0.9,G-U0061-01,1.0,0.5,0.6667,0.0,26,5,10,5,0
case5,0.88,G-U0061-01,1.0,0.5,0.6667,0.0,33,5,10,5,0
case6,0.85,G-U0061-01,1.0,0.5,0.6667,0.0,70,5,10,5,0
case1,0.96,G-U0061-02,1.0,0.5,0.6667,0.0,17,5,10,5,0
case2,0.94,G-U0061-02,1.0,0.5,0.6667,0.0,32,5,10,5,0
case3,0.92,G-U0061-02,1.0,0.5,0.6667,0.0,49,5,10,5,0
case4,0.9,G-U0061-02,1.0,0.5,0.6667,0.0,65,5,10,5,0
case5,0.88,G-U0061-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case6,0.85,G-U0061-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0061-03,1.0,0.5,0.6667,0.0,11,5,10,5,0
case2,0.94,G-U0061-03,1.0,0.5,0.6667,0.0,15,5,10,5,0
case3,0.92,G-U0061-03,1.0,0.5,0.6667,0.0,30,5,10,5,0
case4,0.9,G-U0061-03,1.0,0.5,0.6667,0.0,51,5,10,5,0
case5,0.88,G-U0061-03,1.0,0.5,0.6667,0.0,76,5,10,5,0
case6,0.85,G-U0061-03,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0061-04,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0061-04,1.0,0.4,0.5714,0.0,4,4,10,4,0
case3,0.92,G-U0061-04,1.0,0.5,0.6667,0.0,11,5,10,5,0
case4,0.9,G-U0061-04,1.0,0.5,0.6667,0.0,27,5,10,5,0
case5,0.88,G-U0061-04,1.0,0.5,0.6667,0.0,46,5,10,5,0
case6,0.85,G-U0061-04,1.0,0.5,0.6667,0.0,77,5,10,5,0
case1,0.96,G-U0061-05,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0061-05,1.0,0.5,0.6667,0.0,10,5,10,5,0
case3,0.92,G-U0061-05,1.0,0.5,0.6667,0.0,31,5,10,5,0
case4,0.9,G-U0061-05,1.0,0.5,0.6667,0.0,59,5,10,5,0
case5,0.88,G-U0061-05,1.0,0.5,0.6667,0.0,79,5,10,5,0
case6,0.85,G-U0061-05,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0062-01,0.8,0.4,0.5333,0.0164,9,5,10,4,1
case2,0.94,G-U0062-01,0.8,0.4,0.5333,0.0164,14,5,10,4,1
case3,0.92,G-U0062-01,0.8,0.4,0.5333,0.0164,38,5,10,4,1
case4,0.9,G-U0062-01,0.8,0.4,0.5333,0.0164,56,5,10,4,1
case5,0.88,G-U0062-01,0.8,0.4,0.5333,0.0164,67,5,10,4,1
case6,0.85,G-U0062-01,0.8,0.4,0.5333,0.0164,71,5,10,4,1
